councillor,_airtable_row_index,_airtable_row_key,col_1,col_2,col_3,col_4,col_5,col_6,col_7
Riley-Brockington,97,recvDNE54A7SuM16x,4/3/2024,No,Freeze Multi Residential Tax on Old Builds,River Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=f3abc02b-9f54-4127-a5f2-84db8252dbfe&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2024%20%2D%2033%2D04,Seconded%20byS.%20Devine",Failed,3 Yes / 21 No
Riley-Brockington,98,recO24E34JZxUUyJM,4/3/2024,Yes,Housing Accelerator Fund Reporting and Oversight,River Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=f3abc02b-9f54-4127-a5f2-84db8252dbfe&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2024%20%2D%2033%2D05,Seconded%20byC.%20Kelly",Failed,11 Yes / 13 No
Riley-Brockington,99,recxLBJMk96fbWMag,4/3/2024,Yes,Supportive Housing Considerations in HAF Funding,River Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=f3abc02b-9f54-4127-a5f2-84db8252dbfe&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2024%20%2D%2033%2D06,Seconded%20byS.%20Plante",Passed,17 Yes / 7 No
Riley-Brockington,100,recIQ3TghyrbGoXyv,4/2/2024,Yes,Approve Lansdowne Event Centre and Stands,River Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=93d69530-d017-48af-a75d-5244692670cc&Agenda=PostMinutes&lang=English#:~:text=5.1,Analysis%20and%20Recommendations",Passed,10 Yes / 2 No
Riley-Brockington,101,recPGZgN5AK19kHUy,2/7/2024,Yes,Allow Ditch Infill Despite Flood Risks,River Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=893b6eb0-adc5-46b8-a6ca-5fa30b5190e0&Agenda=PostMinutes&lang=English#:~:text=11.1,4652%20Anderson%20Road",Passed,19 Yes / 6 No
Riley-Brockington,102,recBDUjhW9RA4WBUy,12/6/2023,Yes,Approve 4.5% OPS Budget Increase,River Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=c06ff940-cadb-4da8-b7e8-5adb4d81fa9d&Agenda=PostMinutes&lang=English#:~:text=Carried-,2.,-The%202024%20Ottawa",Passed,17 Yes / 8 No
Riley-Brockington,103,reciJao8LUAf8yQBr,12/6/2023,Yes,Transit Fare Freeze with 1% Levy Increase,River Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=c06ff940-cadb-4da8-b7e8-5adb4d81fa9d&Agenda=PostMinutes&lang=English&Item=49&Tab=attachments#:~:text=Motion%20No.2023%20%2D%2028%2D08,Seconded%20byJ.%20Leiper",Failed,10 Yes / 15 No
Riley-Brockington,104,recMW09wEEYxdHgXv,11/14/2023,Yes,Approve Transit Commission 2024 Budget,River Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=b82e0c27-161a-4e91-9c24-9b9d7237b27f&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.%20TTC2023%2D09%2D04,Moved%20byR.%20Brockington",Passed,7 Yes / 2 No
Riley-Brockington,105,rec4BC8EZ9AHvpeX3,11/8/2023,No,Convert Exhibition Way to Permit Parking,River Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=a154cac7-f461-49bc-97ad-e83b202dd9b8&Agenda=PostMinutes&lang=English#:~:text=Carried%20(16%20to,2023%20%2D%2025%2D24",Failed,9 Yes / 15 No
Riley-Brockington,106,recCoNwrZS4fBaFgR,11/8/2023,No,Approve Report Recommendations 3 and 4,River Ward,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=a154cac7-f461-49bc-97ad-e83b202dd9b8&Agenda=PostMinutes&lang=English#:~:text=Per%20Motion%202023%20%2D%2025%2D02%20(above)%2C%20the%20original%20staff%20report%20recommendations%20were%20put%20forward.%C2%A0,Passed,18 Yes / 7 No
Riley-Brockington,107,recCr65izj0Cbtxtw,11/8/2023,Yes,Prioritize Rental Units for Lansdowne Development,River Ward,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=a154cac7-f461-49bc-97ad-e83b202dd9b8&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2023%20%2D%2025%2D20,Failed,10 Yes / 15 No
Riley-Brockington,108,recFCXtWty95LwYyF,11/8/2023,No,Approve Report Recommendations 1 and 2,River Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=a154cac7-f461-49bc-97ad-e83b202dd9b8&Agenda=PostMinutes&lang=English#:~:text=18%20to%207)-,That%20City%20Council%3A,-1.%20%C2%A0%20%C2%A0Approve%20the",Passed,16 Yes / 9 No
Riley-Brockington,109,recLi6fMoFtRJQ4W5,11/8/2023,No,Amend Parking Budget and Explore Options,River Ward,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=a154cac7-f461-49bc-97ad-e83b202dd9b8&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2023%20%2D%2025%2D27,Failed,8 Yes / 17 No
Riley-Brockington,110,recNqQE1Xy4OqKhq2,11/8/2023,Yes,Study City Assets to Increase Revenue,River Ward,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=a154cac7-f461-49bc-97ad-e83b202dd9b8&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2023%20%2D%2025%2D29,Passed,19 Yes / 5 No
Riley-Brockington,111,recQJo6NSDTvi9Idq,11/8/2023,Yes,Require Cash-in-Lieu for Air Rights,River Ward,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=a154cac7-f461-49bc-97ad-e83b202dd9b8&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2023%20%2D%2025%2D12,Failed,7 Yes / 18 No
Riley-Brockington,112,recUBos5wEJyFQD5d,11/8/2023,Yes,Study Feasibility of Lansdowne Green Roof,River Ward,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=a154cac7-f461-49bc-97ad-e83b202dd9b8&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2023%20%2D%2025%2D09,Failed,11 Yes / 14 No
Riley-Brockington,113,recVroSR2SLPTX8hb,11/8/2023,Yes,Extend Traffic Management Principles to Events,River Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=a154cac7-f461-49bc-97ad-e83b202dd9b8&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2023%20%2D%2025%2D36,Seconded%20byS.%20Devine",Passed,15 Yes / 8 No
Riley-Brockington,114,recYKMmTGZNAUbHUl,11/8/2023,Yes,Establish Community Benefits Committee for Lansdowne,River Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=a154cac7-f461-49bc-97ad-e83b202dd9b8&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2023%20%2D%2025%2D32,Seconded%20byL.%20Johnson",Failed,11 Yes / 14 No
Riley-Brockington,115,recZxBKXrB8wlOaZy,11/8/2023,Yes,Direct 40% Air Rights Proceeds to Housing,River Ward,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=a154cac7-f461-49bc-97ad-e83b202dd9b8&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2023%20%2D%2025%2D13,Failed,12 Yes / 13 No
Riley-Brockington,116,rechCvFIFkMaUuqjc,11/8/2023,No,10% Lansdowne Units for Non-Profit Housing,River Ward,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=a154cac7-f461-49bc-97ad-e83b202dd9b8&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2023%20%2D%2025%2D16,Failed,6 Yes / 18 No
Riley-Brockington,117,reciOiw9sLRO4kzt7,11/8/2023,Yes,Prepare OSEG Partnership Financial Risk Strategy,River Ward,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=a154cac7-f461-49bc-97ad-e83b202dd9b8&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2023%20%2D%2025%2D08,Failed,12 Yes / 13 No
Riley-Brockington,118,recuCN90E4IJ7L6Ve,11/8/2023,No,Waive Public Art Policy at Lansdowne,River Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=a154cac7-f461-49bc-97ad-e83b202dd9b8&Agenda=PostMinutes&lang=English#:~:text=in%20Q2%202024.-,Carried,Motion%20No.2023%20%2D%2025%2D31,-Moved%20byD",Failed,6 Yes / 19 No
Riley-Brockington,119,recvVhIBdkPuBM6z0,11/8/2023,No,Prohibit OSEG from Bidding on Air Rights,River Ward,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=a154cac7-f461-49bc-97ad-e83b202dd9b8&Agenda=PostMinutes&lang=English#:~:text=Motion%20No.2023%20%2D%2025%2D11,Failed,3 Yes / 22 No
Riley-Brockington,120,recwyQujyXfr6dKeJ,11/8/2023,No,Defer Lansdowne Partnership Plan to 2024,River Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=a154cac7-f461-49bc-97ad-e83b202dd9b8&Agenda=PostMinutes&lang=English#:~:text=2023%20%2D%2025%2D07-,Moved%20byS.%20Devine,-Seconded%20byA",Failed,8 Yes / 16 No
Riley-Brockington,121,recjpouXZYkwBRsrV,9/13/2023,Yes,Allocate Growth Revenue to Social Services,River Ward,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=bf9b2f2d-bb5d-42ab-b489-babd3f8c89d2&Agenda=PostMinutes&lang=English&Item=68&Tab=attachments#:~:text=Motion%20No.2023%20%2D%2020%2D04,Failed,10 Yes / 14 No
Riley-Brockington,122,recv3BBGp9R6NRPcB,9/13/2023,Yes,Limit 2024 Tax Increase to 2.5%,River Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=bf9b2f2d-bb5d-42ab-b489-babd3f8c89d2&Agenda=PostMinutes&lang=English&Item=68&Tab=attachments#:~:text=Received-,14.2,Proposed%202024%20Budget%20Directions%2C%20Timeline%20and%20Consultation%20Process,-File%20No.%20ACS2023",Passed,17 Yes / 8 No
Riley-Brockington,123,rec5agZFFAxfOn3SU,5/10/2023,No,Delay High Performance Development Standard,River Ward,"https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=08addc0c-5bac-49ce-837d-2fb12d7ccb06&Agenda=PostMinutes&lang=English&Item=61&Tab=attachments#:~:text=12.1-,High%20Performance%20Development%20Standard%20Update%202023,-This%20item%20has",Passed,14 Yes / 10 No
Riley-Brockington,124,recgxqziGIucPCJ5w,4/4/2023,No,Germain Hotels Airport Hotel Tax Break,River Ward,https://pub-ottawa.escribemeetings.com/Meeting.aspx?Id=387e7609-7a8b-4a1c-9cd6-91c5ad9a4767&Agenda=PostMinutes&lang=English#:~:text=Application%20by%20HAC%20OTTAWA%20AIRPORT%2C%20LP%20for%20an%20Ottawa%20International%20Airport%20Community%20Improvement%20Plan%20grant%20for%201085%20Airport%20Parkway%20Private,Failed,6 Yes / 6 No
